WL,Data,Data,data
473.93,8,7,14
474.09,4,5,14
474.26,13,16,11
474.42,17,7,11
474.58,3,8,13
474.74,8,19,10
474.9,10,16,8
475.06,6,10,8
475.22,9,10,13
475.38,14,8,7
475.55,8,16,15
475.71,10,12,1
475.87,13,14,11
476.03,8,11,11
476.19,10,12,10
476.35,11,11,14
476.51,11,13,11
476.67,11,12,17
476.83,14,13,13
476.99,10,11,12
477.15,14,11,13
477.31,10,11,14
477.47,15,11,6
477.64,9,11,9
477.8,10,14,17
477.96,7,11,9
478.12,16,13,10
478.28,4,14,11
478.44,13,13,11
478.6,14,9,7
478.76,5,13,14
478.92,10,13,10
479.08,8,11,10
479.24,11,13,13
479.4,9,21,15
479.56,10,15,6
479.72,16,8,13
479.88,9,16,14
480.04,15,11,7
480.2,9,19,11
480.36,14,9,13
480.52,13,8,11
480.68,12,17,12
480.84,11,9,14
480.99,15,12,12
481.15,7,11,12
481.31,17,17,15
481.47,16,18,13
481.63,12,17,8
481.79,7,14,16
481.95,8,13,19
482.11,16,15,13
482.27,10,14,15
482.43,13,12,17
482.59,7,17,12
482.75,13,15,12
482.91,12,12,12
483.06,14,21,9
483.22,9,11,13
483.38,21,16,16
483.54,16,19,13
483.7,18,12,14
483.86,18,21,20
484.02,11,13,14
484.18,17,17,15
484.33,17,20,16
484.49,13,17,19
484.65,36,38,40
484.81,15,19,22
484.97,13,25,15
485.13,21,28,23
485.28,21,22,16
485.44,14,15,17
485.6,15,20,18
485.76,21,22,18
485.92,12,17,19
486.08,17,17,23
486.23,15,22,23
486.39,21,21,17
486.55,17,22,18
486.71,19,15,17
486.87,19,17,20
487.02,18,19,19
487.18,15,22,19
487.34,18,20,9
487.5,20,19,18
487.65,13,21,27
487.81,16,21,23
487.97,22,25,22
488.13,21,17,18
488.28,19,22,20
488.44,21,23,15
488.6,20,17,13
488.76,15,18,16
488.91,16,23,12
489.07,14,19,14
489.23,13,18,11
489.38,16,13,19
489.54,15,17,19
489.7,13,20,9
489.85,22,18,17
490.01,15,21,12
490.17,13,17,18
490.33,13,19,18
490.48,23,26,20
490.64,25,23,17
490.8,18,19,17
490.95,20,13,17
491.11,17,13,17
491.27,19,13,21
491.42,16,12,15
491.58,19,19,19
491.73,15,10,16
491.89,17,17,16
492.05,18,18,18
492.2,14,19,15
492.36,17,19,12
492.52,15,16,14
492.67,21,24,20
492.83,15,20,13
492.98,17,18,16
493.14,8,17,14
493.3,16,22,20
493.45,10,15,23
493.61,8,19,16
493.76,22,16,15
493.92,13,19,13
494.07,14,12,18
494.23,14,14,9
494.39,11,13,17
494.54,14,16,12
494.7,16,19,22
494.85,14,13,16
495.01,9,15,16
495.16,10,16,13
495.32,7,20,10
495.47,10,12,13
495.63,12,11,13
495.78,11,13,20
495.94,13,18,14
496.09,17,12,14
496.25,8,16,13
496.4,18,10,15
496.56,14,17,14
496.71,10,13,7
496.87,12,17,7
497.02,12,13,17
497.18,11,14,11
497.33,11,11,15
497.49,11,6,19
497.64,12,12,12
497.8,10,17,17
497.95,9,8,9
498.1,9,10,13
498.26,15,9,13
498.41,8,15,8
498.57,9,13,14
498.72,7,9,12
498.88,10,14,16
499.03,7,13,8
499.18,18,26,15
499.34,11,10,14
499.49,11,10,15
499.65,5,11,21
499.8,7,17,8
499.95,14,14,11
500.11,12,15,1
500.26,15,14,12
500.42,8,13,13
500.57,7,15,11
500.72,8,11,8
500.88,12,13,7
501.03,9,12,14
501.18,10,7,13
501.34,10,10,11
501.49,10,14,6
501.64,13,15,7
501.8,15,13,10
501.95,7,11,8
502.1,15,10,12
502.26,11,11,11
502.41,7,15,7
502.56,6,17,14
502.71,10,10,4
502.87,7,11,16
503.02,8,14,9
503.17,14,13,10
503.33,10,11,8
503.48,12,16,15
503.63,9,12,15
503.78,12,9,12
503.94,12,13,13
504.09,8,13,16
504.24,11,17,12
504.39,10,11,12
504.55,9,8,15
504.7,16,6,17
504.85,7,8,10
505,5,14,12
505.15,10,13,15
505.31,13,12,7
505.46,8,12,9
505.61,14,12,8
505.76,13,13,16
505.91,11,15,13
506.07,9,10,8
506.22,17,11,14
506.37,14,9,13
506.52,10,7,13
506.67,14,15,18
506.83,12,14,13
506.98,11,7,12
507.13,6,14,12
507.28,13,15,16
507.43,6,12,11
507.58,11,14,7
507.73,7,12,16
507.88,12,8,16
508.04,6,16,15
508.19,12,12,7
508.34,15,13,14
508.49,16,14,15
508.64,12,11,13
508.79,12,14,14
508.94,8,10,12
509.09,12,15,8
509.24,14,7,16
509.39,9,8,10
509.55,8,16,13
509.7,6,10,11
509.85,10,11,8
510,8,10,12
510.15,4,3,9
510.3,11,3,7
510.45,3,9,8
510.6,16,12,16
510.75,8,13,13
510.9,15,11,8
511.05,8,11,7
511.2,20,15,17
511.35,10,11,7
511.5,10,12,11
511.65,7,8,8
511.8,5,16,13
511.95,8,11,11
512.1,5,2,14
512.25,16,7,8
512.4,7,13,6
512.55,6,9,9
512.7,10,8,14
512.85,4,4,11
513,8,12,9
513.15,18,18,11
513.3,15,11,13
513.45,15,14,19
513.59,11,12,12
513.74,8,8,10
513.89,14,7,8
514.04,8,14,10
514.19,8,13,13
514.34,12,10,11
514.49,10,12,10
514.64,14,10,7
514.79,10,10,15
514.94,7,10,12
515.09,12,6,7
515.23,17,19,9
515.38,13,16,8
515.53,12,7,7
515.68,9,10,9
515.83,13,15,11
515.98,9,13,11
516.13,5,11,10
516.27,6,10,9
516.42,10,14,13
516.57,4,15,12
516.72,9,9,11
516.87,6,11,10
517.01,14,14,12
517.16,11,10,9
517.31,17,9,10
517.46,10,19,21
517.61,13,12,14
517.75,4,10,14
517.9,7,15,7
518.05,8,11,10
518.2,17,18,18
518.35,12,11,10
518.49,9,9,10
518.64,11,12,0
518.79,13,13,14
518.94,11,14,15
519.08,8,12,9
519.23,16,16,11
519.38,10,6,7
519.52,9,15,7
519.67,8,15,7
519.82,10,10,11
519.97,13,16,14
520.11,11,12,10
520.26,8,11,9
520.41,8,10,9
520.55,6,10,12
520.7,13,11,12
520.85,12,11,15
520.99,7,13,9
521.14,10,12,9
521.29,14,13,13
521.43,11,15,5
521.58,8,8,12
521.73,11,14,17
521.87,14,15,6
522.02,9,7,10
522.17,9,12,4
522.31,12,9,14
522.46,5,12,12
522.6,11,9,7
522.75,10,14,11
522.9,8,10,8
523.04,5,10,7
523.19,15,8,9
523.33,15,12,7
523.48,8,18,15
523.63,10,11,11
523.77,6,17,18
523.92,7,16,5
524.06,12,8,15
524.21,8,11,12
524.35,6,11,6
524.5,4,9,10
524.64,3,14,11
524.79,12,10,7
524.94,9,9,13
525.08,16,11,12
525.23,12,12,10
525.37,13,14,7
525.52,7,8,12
525.66,2,12,7
525.81,9,15,14
525.95,12,12,16
526.1,9,9,16
526.24,12,8,9
526.39,10,12,8
526.53,11,10,12
526.67,9,10,12
526.82,10,8,15
526.96,2,11,8
527.11,6,12,11
527.25,13,12,11
527.4,7,13,9
527.54,10,14,11
527.69,6,10,5
527.83,11,13,7
527.97,13,11,5
528.12,11,11,9
528.26,9,14,15
528.41,10,1,8
528.55,7,20,12
528.69,12,7,12
528.84,6,14,10
528.98,7,15,14
529.12,15,9,11
529.27,12,16,11
529.41,7,10,11
529.56,13,4,10
529.7,6,8,13
529.84,12,13,15
529.99,11,11,4
530.13,18,19,11
530.27,1,11,9
530.42,12,11,7
